CROMPTON RESIDENTIAL PUMPS - COMPLETE CATALOG
Source: https://www.crompton.co.in/pages/residential-pumps
Extraction Date: 2025-11-05


================================================================================
CATEGORY: Mini Pumps
================================================================================

Product Name	Description	HP	kW	Supply Phase	Delivery Pipe	No. of Stages	ISI	MNRE
Mini Everest Mini Pump	Compact pump for gardening, lawn sprinkling	-	1.1	Single Phase	25mm x 25mm	-	B.I.S. Compliant	-
AQUAGOLD DURA 150	Durable aquagold pump for household use	1.5	1.1	Single Phase	-	-	-	-
AQUAGOLD 150	Standard aquagold pump	1.5	1.1	Single Phase	-	-	-	-
WIN PLUS I	Window pump series	1.0	0.75	Single Phase	25mm x 25mm	-	-	-
ULTIMO II	Entry-level pump	1.0	0.75	Single Phase	-	-	-	-
ULTIMO I	Basic pump model	1.0	0.75	Single Phase	-	-	-	-
STAR PLUS I	Star series pump	1.0	0.75	Single Phase	-	-	-	-
STAR DURA I	Durable star series	1.0	0.75	Single Phase	-	-	-	-
PRIMO I	Premium pump	1.0	0.75	Single Phase	-	-	-	-
NILE PLUS I	Nile series pump	1.0	0.75	Single Phase	-	-	-	-
NILE DURA I	Durable nile series	1.0	0.75	Single Phase	-	-	-	-
MINI SUMO I	Compact sumo pump	1.0	0.75	Single Phase	-	-	-	-
MINI MASTERPLUS I	Mini master series plus	1.0	0.75	Single Phase	25mm x 25mm	-	-	-
MINI MASTER I	Mini master pump with self-priming up to 7.5m	1.0	0.74	Single Phase	25mm x 25mm	-	-	-
MINI MARVEL I	Marvel series pump	1.0	0.75	Single Phase	-	-	-	-
GLORY PLUS I	Glory series pump	1.0	0.75	Single Phase	-	-	-	-
MINI CREST I	Crest series pump	1.0	0.75	Single Phase	-	-	-	-
CHAMP PLUS I	Champion series pump	1.0	0.75	Single Phase	-	-	-	-
MASTER PLUS I	Master series pump	1.0	0.75	Single Phase	-	-	-	-
MASTER DURA I	Durable master series	1.0	0.75	Single Phase	-	-	-	-
GLIDE PLUS II	Glide series pump version 2	1.0	0.75	Single Phase	-	-	-	-
GLIDE PLUS I	Glide series pump	1.0	0.75	Single Phase	-	-	-	-
FLOMAX PLUS I	Flomax pump series	1.0	0.75	Single Phase	-	-	-	-
CHAMP DURA I	Durable champion series	1.0	0.75	Single Phase	-	-	-	-


================================================================================
CATEGORY: DMB-CMB Pumps
================================================================================

Product Name	Description	HP	kW	Supply Phase	Delivery Pipe	No. of Stages	ISI	MNRE
CMB10NV PLUS	Centrifugal monoblock pump, 0.5 HP	0.5	0.37	Single Phase	-	-	B.I.S. Compliant	-
DMB10D PLUS	Centrifugal monoblock pump, 1.0 HP, max head 54m	1.0	0.75	Single Phase	-	-	B.I.S. Compliant	-
DMB10DCSL	Centrifugal monoblock pump, 1440 RPM	1.0	0.75	Single Phase	-	-	B.I.S. Compliant	-
CMB05NV PLUS	Centrifugal monoblock pump with brass impeller	0.5	0.37	Single Phase	-	-	B.I.S. Compliant	-


================================================================================
CATEGORY: Shallow Well Pumps
================================================================================

Product Name	Description	HP	kW	Supply Phase	Delivery Pipe	No. of Stages	ISI	MNRE
SWJ1	Shallow well jet pump with 8m suction	1.0	0.75	Single Phase	-	-	-	-
SWJ100AP-36 PLUS	Shallow well jet pump	-	-	Single Phase	-	-	-	-
SWJ100AT-36 PLUS	Shallow well jet pump with tank	1.0	0.75	Single Phase	-	-	-	-
SWJ100A-36 PLUS	Shallow well jet pump	1.0	0.75	Single Phase	-	-	-	-
SWJ50AT-30 PLUS	Shallow well pump with tank, 0.5 HP	0.5	0.37	Single Phase	-	-	-	-
SWJ50AP-30 PLUS	Shallow well pump, 0.5 HP	0.5	0.37	Single Phase	-	-	-	-
SWJ50A-30 PLUS	Shallow well pump	0.5	0.37	Single Phase	-	-	-	-


================================================================================
CATEGORY: 3-Inch Borewell
================================================================================

Product Name	Description	HP	kW	Supply Phase	Delivery Pipe	No. of Stages	ISI	MNRE
3W12AP1D	3-inch water-filled submersible pump	1.0	0.75	Single Phase	3 inch (75mm)	-	-	-
3W10AP1D	3-inch water-filled submersible pump	1.0	0.75	Single Phase	3 inch (75mm)	-	-	-
3W10AK1A	3-inch water-filled submersible pump	1.0	0.75	Single Phase	3 inch (75mm)	-	-	-


================================================================================
CATEGORY: 4-Inch Borewell
================================================================================

Product Name	Description	HP	kW	Supply Phase	Delivery Pipe	No. of Stages	ISI	MNRE
4W7BU1AU	4-inch water-filled submersible, 7 stages	1.0	0.75	Single Phase	4 inch (100mm)	7	-	-
4W14BU2EU	4-inch water-filled submersible, 14 stages, 301ft head	2.0	1.5	Single Phase	4 inch (100mm)	14	-	-
4W10BU1AU	4-inch water-filled submersible, 10 stages	1.0	0.75	Single Phase	4 inch (100mm)	10	-	-
4W14BF1.5E	4-inch water-filled submersible, 14 stages	1.0	0.75	Single Phase	4 inch (100mm)	14	-	-
4W12BF1.5E	4-inch water-filled submersible, 12 stages	1.0	0.75	Single Phase	4 inch (100mm)	12	-	-
4W10RA2C-50	4-inch water-filled submersible, 10 stages, 2.0 HP	2.0	1.5	Single Phase	4 inch (100mm)	10	-	-
4VO10BU1EU	4-inch oil-filled submersible, 10 stages	1.0	0.75	Single Phase	4 inch (100mm)	10	-	-


================================================================================
CATEGORY: Residential Openwell
================================================================================

Product Name	Description	HP	kW	Supply Phase	Delivery Pipe	No. of Stages	ISI	MNRE
OWE12(1PH)Z-28	Centrifugal openwell pump with anti-rust coating	1.0	0.75	Single Phase	-	-	-	-
OWE052(1PH)Z-21FS	Centrifugal openwell submersible pump	0.5	0.37	Single Phase	-	-	-	-


================================================================================
CATEGORY: Pressure Booster
================================================================================

Product Name	Description	HP	kW	Supply Phase	Delivery Pipe	No. of Stages	ISI	MNRE
Mini Force I	Automatic pressure booster pump with dry run protection	0.5	0.37	Single Phase	-	-	-	-
CFMSMB5D1.00-V24	Centrifugal booster pump, single stage	1.0	0.75	Single Phase	-	1	-	-
CFMSMB3D0.50-V24	Compact centrifugal booster pump	0.5	0.37	Single Phase	-	1	-	-
Mini Force II	Energy-efficient booster pump	0.5	0.37	Single Phase	-	-	-	-
AB-15	Automatic booster controller	Up to 1 HP	-	Single Phase	-	-	-	-


================================================================================
CATEGORY: Control Panels
================================================================================

Product Name	Description	HP	kW	Supply Phase	Delivery Pipe	No. of Stages	ISI	MNRE
ARMOR1.5-DSU	Control panel with settable OFF-timers, 1.5 HP	1.5	1.1	Single Phase	-	-	-	-
ARMOR1.0-CQU	Control panel compatible with submersible pumps, 1.0 HP	1.0	0.75	Single Phase	-	-	-	-


================================================================================
CATEGORY: In-line Pumps
================================================================================

Product Name	Description	HP	kW	Supply Phase	Delivery Pipe	No. of Stages	ISI	MNRE
CIL120-9	In-line pump for hot water circulation, handles up to 90°C	0.16	0.12	Single Phase	-	-	-	-

